name, error, solveTime, mem, size, patternEntries
ex19,1.2222e-08,0.16115,4923264,144120025,259879
graham1,2.7075e-11,0.20772,75635184, 81631225,335504
kim2,5.7709e-16,18.9837,275599456,208827064576,11330020
PR02R,4.7549e-09,32.8484,134862176, 25943544900, 8185136
raefsky3,2.063e-14,0.45617,95188896,449440000,1488768
water_tank,2.0226e-12,49.094,97248384, 3689347600,2035281
cfd1,1.2477e-13,1.1118,95532304,4992270336, 1828364
cfd2,3.9267e-13,2.5416,97224544,15237433600, 3087898
ex15,6.6503e-07,0.081053,64447408,47155689, 98671
parabolic_fem,1.0919e-12,1.6011,96345472, 276491930625, 3674625
shallow_water1,2.3769e-16,0.22059,81141024,6710886400, 327680
