name, error, solveTime, solvePeakMem(Bytes)
ex19,1.2222e-08,0.14399,4165632
graham1,2.7075e-11,0.21169,70979584
kim2,5.7709e-16,750.3955,276074496
PR02R,4.7549e-09,38.3693,135098368
raefsky3,2.063e-14,0.4559,21356544
water_tank,2.0226e-12,45.9146,32632832
ex15,6.6503e-07,0.053428,67342336
shallow_water1,2.3769e-16,0.27687,10518528
apache2,4.3712e-11,6.4827,85782528
parabolic_fem,1.0919e-12,1.7336,71442432
G3_circuit,3.5206e-12,8.4441,137842688
cfd1,1.2477e-13,1.0358,30863360
cfd2,3.9267e-13,2.2907,51793920
torso3,2.051e-16,1188.8367,106192896
